num_bits,test_number,time_elapsed(ms)
1,1,0.103582
2,1,0.380788
3,1,0.703357
4,1,0.993223
5,1,1.27373
6,1,1.66953
7,1,1.75892
8,1,2.13009
9,1,2.29853
10,1,2.64442
11,1,2.95323
12,1,3.13105
13,1,3.49161
14,1,3.89291
15,1,4.19157
16,1,4.28038
1,2,0.097808
2,2,0.379903
3,2,0.71332
4,2,0.965408
5,2,1.22938
6,2,1.54996
7,2,1.70193
8,2,1.94368
9,2,2.48733
10,2,2.48826
11,2,3.17728
12,2,3.47225
13,2,3.51104
14,2,3.70365
15,2,3.97349
16,2,5.04112
1,3,0.096429
2,3,0.358142
3,3,0.622771
4,3,0.888813
5,3,1.17082
6,3,1.44468
7,3,1.68754
8,3,1.94029
9,3,2.19297
10,3,2.53232
11,3,2.73741
12,3,2.99011
13,3,3.28538
14,3,3.57229
15,3,3.79343
16,3,4.07945
1,4,0.095494
2,4,0.357082
3,4,0.613355
4,4,0.877496
5,4,1.15023
6,4,1.39924
7,4,1.67115
8,4,1.93888
9,4,2.2634
10,4,2.47048
11,4,2.72352
12,4,3.03495
13,4,3.32059
14,4,3.49795
15,4,3.82418
16,4,4.04912
1,5,0.096166
2,5,0.359418
3,5,0.638777
4,5,0.901993
5,5,1.18162
6,5,1.4245
7,5,1.72067
8,5,1.97127
9,5,2.35378
10,5,2.49861
11,5,2.73768
12,5,3.14734
13,5,3.38085
14,5,3.58944
15,5,3.77429
16,5,4.13615
1,6,0.094856
2,6,0.357855
3,6,0.626067
4,6,0.897198
5,6,1.17748
6,6,1.45124
7,6,1.67687
8,6,1.95648
9,6,2.26368
10,6,2.48733
11,6,2.78767
12,6,3.02242
13,6,3.27642
14,6,3.58787
15,6,3.85326
16,6,4.06895
1,7,0.096488
2,7,0.353236
3,7,0.638782
4,7,0.887745
5,7,1.15958
6,7,1.43454
7,7,1.6851
8,7,2.05512
9,7,2.25562
10,7,2.54284
11,7,2.73915
12,7,3.06059
13,7,3.31411
14,7,3.57514
15,7,3.87068
16,7,4.11363
1,8,0.101987
2,8,0.354013
3,8,0.625203
4,8,0.898406
5,8,1.1892
6,8,1.4229
7,8,1.66753
8,8,1.94504
9,8,2.22306
10,8,2.48586
11,8,2.73068
12,8,2.98271
13,8,3.32558
14,8,3.64502
15,8,4.01077
16,8,4.26981
1,9,0.101382
2,9,0.371329
3,9,0.639767
4,9,0.931469
5,9,1.1928
6,9,1.47632
7,9,1.77121
8,9,1.98326
9,9,2.21847
10,9,2.52727
11,9,2.75334
12,9,2.99346
13,9,3.33311
14,9,3.55202
15,9,3.81617
16,9,4.14782
1,10,0.097325
2,10,0.358061
3,10,0.634278
4,10,0.900562
5,10,1.1699
6,10,1.47438
7,10,1.72835
8,10,1.97253
9,10,2.28308
10,10,2.51847
11,10,2.83291
12,10,3.11849
13,10,3.35035
14,10,3.56451
15,10,3.8652
16,10,4.24263
